Movie Name,star cast,Rating
A Simple Favor,Paul Feig;Anna Kendrick;Blake Lively;Henry Golding;Andrew Rannells,6.9
The VVitch: A New-England Folktale,Robert Eggers;Anya Taylor-Joy;Ralph Ineson;Kate Dickie;Julian Richings,6.8
A Discovery of Witches,Matthew Goode;Teresa Palmer;Valarie Pettiford;Malin Buska,8.2
A Clockwork Orange,Stanley Kubrick;Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke,8.3
Valerian and the City of a Thousand Planets,Luc Besson;Dane DeHaan;Cara Delevingne;Clive Owen;Rihanna,6.5
Requiem for a Dream,Darren Aronofsky;Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans,8.3
One Day at a Time,Justina Machado;Todd Grinnell;Isabella Gomez;Marcel Ruiz,8.3
Star Wars,George Lucas;Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,8.6
Vis a vis,Alba Flores;María Isabel Díaz Lago;Marta Aledo;Najwa Nimri,8.2
A Series of Unfortunate Events,Neil Patrick Harris;Patrick Warburton;Malina Weissman;Louis Hynes,7.8
A Dog's Journey,Gail Mancuso;Josh Gad;Dennis Quaid;Kathryn Prescott;Marg Helgenberger,7.4
A Beautiful Day in the Neighborhood,Marielle Heller;Tom Hanks;Matthew Rhys;Chris Cooper;Enrico Colantoni,Not Rated
2001: A Space Odyssey,Stanley Kubrick;Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,8.3
A Knight's Tale,Brian Helgeland;Heath Ledger;Mark Addy;Rufus Sewell;Shannyn Sossamon,6.9
A Bug's Life,John Lasseter;Andrew Stanton;Kevin Spacey;Dave Foley;Julia Louis-Dreyfus;Hayden Panettiere,7.2
What a Girl Wants,Dennie Gordon;Amanda Bynes;Colin Firth;Kelly Preston;Eileen Atkins,5.9
12 Years a Slave,Solomon Northup;Steve McQueen;Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender;Brad Pitt,8.1
Once Upon a Time in America,Sergio Leone;Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams,8.4
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese;Bob Dylan;Allen Ginsberg;Patti Smith;Martin von Haselberg,8.0
Rogue One,Gareth Edwards;Felicity Jones;Diego Luna;Alan Tudyk;Donnie Yen,7.8
A Rainy Day in New York,Woody Allen;Timothée Chalamet;Elle Fanning;Kelly Rohrbach;Suki Waterhouse,Not Rated
A Star Is Born,Frank Pierson;Barbra Streisand;Kris Kristofferson;Gary Busey;Oliver Clark,6.3
Go! Vive a Tu Manera,Rebecca Davis;Marley Estrada;Jordan Tortorello;Laura Azcurra,7.0
Dodgeball: A True Underdog Story,Rawson Marshall Thurber;Ben Stiller;Christine Taylor;Vince Vaughn;Rip Torn,6.7
Srpski film,Srdjan Spasojevic;Srdjan 'Zika' Todorovic;Sergej Trifunovic;Jelena Gavrilovic;Slobodan Bestic,5.1
The Killing of a Sacred Deer,Yorgos Lanthimos;Barry G. Bernson;Herb Caillouet;Bill Camp;Raffey Cassidy,7.0
Sherlock Holmes: A Game of Shadows,Guy Ritchie;Robert Downey Jr.;Jude Law;Jared Harris;Rachel McAdams,7.5
A Scanner Darkly,Richard Linklater;Keanu Reeves;Winona Ryder;Robert Downey Jr.;Rory Cochrane,7.1
Easy A,Will Gluck;Emma Stone;Amanda Bynes;Penn Badgley;Dan Byrd,7.1
A Beautiful Mind,John Nash;Ron Howard;Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer,8.2
The Perks of Being a Wallflower,Stephen Chbosky;Logan Lerman;Emma Watson;Ezra Miller;Paul Rudd,8.0
A Nightmare on Elm Street,Wes Craven;Heather Langenkamp;Johnny Depp;Robert Englund;John Saxon,7.5
Death at a Funeral,Frank Oz;Matthew Macfadyen;Peter Dinklage;Ewen Bremner;Keeley Hawes,7.4
A Madea Family Funeral,Tyler Perry;Tyler Perry;Cassi Davis;Patrice Lovely;Mike Tyson,4.3
A Million Little Things,David Giuntoli;Romany Malco;Allison Miller;Christina Moses,7.9
Once Upon a Time in the West,Sergio Leone;Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,8.5
About a Boy,Chris Weitz;Paul Weitz;Hugh Grant;Nicholas Hoult;Toni Collette;Sharon Small,7.1
Without a Trace,Anthony LaPaglia;Poppy Montgomery;Enrique Murciano;Eric Close,6.9
A Vigilante,Sarah Daggar-Nickson;Olivia Wilde;Morgan Spector;Kyle Catlett;Estefania Tejeda,5.4
A Touch of Frost,David Jason;Bruce Alexander;John Lyons;Arthur White,7.9
A Star Is Born,George Cukor;Judy Garland;James Mason;Jack Carson;Charles Bickford,7.7
A Walk to Remember,Adam Shankman;Mandy Moore;Shane West;Peter Coyote;Daryl Hannah,7.4
Death at a Funeral,Neil LaBute;Chris Rock;Martin Lawrence;Keith David;Loretta Devine,5.7
Once Upon a Time ... in Hollywood,Quentin Tarantino;Leonardo DiCaprio;Brad Pitt;Margot Robbie;Sydney Sweeney,9.6
City on a Hill,Kevin Bacon;Aldis Hodge;Jonathan Tucker;Mark O'Brien,7.9
A Star Is Born,Bradley Cooper;Lady Gaga;Bradley Cooper;Sam Elliott;Greg Grunberg,7.7
Two and a Half Men,Jon Cryer;Ashton Kutcher;Angus T. Jones;Conchata Ferrell,7.1
Once Upon a Time,Ginnifer Goodwin;Jennifer Morrison;Lana Parrilla;Robert Carlyle,7.8
A Quiet Place,John Krasinski;Emily Blunt;John Krasinski;Millicent Simmonds;Noah Jupe,7.6
A League of Their Own,Penny Marshall;Tom Hanks;Geena Davis;Lori Petty;Madonna,7.2
Solo: A Star Wars Story,Ron Howard;Alden Ehrenreich;Woody Harrelson;Emilia Clarke;Donald Glover,7.0
M*A*S*H,Alan Alda;Wayne Rogers;Loretta Swit;Jamie Farr,8.4
A Simple Favor,Paul Feig;Anna Kendrick;Blake Lively;Henry Golding;Andrew Rannells,6.9
The VVitch: A New-England Folktale,Robert Eggers;Anya Taylor-Joy;Ralph Ineson;Kate Dickie;Julian Richings,6.8
A Discovery of Witches,Matthew Goode;Teresa Palmer;Valarie Pettiford;Malin Buska,8.2
A Clockwork Orange,Stanley Kubrick;Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke,8.3
Valerian and the City of a Thousand Planets,Luc Besson;Dane DeHaan;Cara Delevingne;Clive Owen;Rihanna,6.5
Requiem for a Dream,Darren Aronofsky;Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans,8.3
One Day at a Time,Justina Machado;Todd Grinnell;Isabella Gomez;Marcel Ruiz,8.3
Star Wars,George Lucas;Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,8.6
Vis a vis,Alba Flores;María Isabel Díaz Lago;Marta Aledo;Najwa Nimri,8.2
A Series of Unfortunate Events,Neil Patrick Harris;Patrick Warburton;Malina Weissman;Louis Hynes,7.8
A Dog's Journey,Gail Mancuso;Josh Gad;Dennis Quaid;Kathryn Prescott;Marg Helgenberger,7.4
A Beautiful Day in the Neighborhood,Marielle Heller;Tom Hanks;Matthew Rhys;Chris Cooper;Enrico Colantoni,Not Rated
2001: A Space Odyssey,Stanley Kubrick;Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,8.3
A Knight's Tale,Brian Helgeland;Heath Ledger;Mark Addy;Rufus Sewell;Shannyn Sossamon,6.9
A Bug's Life,John Lasseter;Andrew Stanton;Kevin Spacey;Dave Foley;Julia Louis-Dreyfus;Hayden Panettiere,7.2
What a Girl Wants,Dennie Gordon;Amanda Bynes;Colin Firth;Kelly Preston;Eileen Atkins,5.9
12 Years a Slave,Solomon Northup;Steve McQueen;Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender;Brad Pitt,8.1
Once Upon a Time in America,Sergio Leone;Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams,8.4
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese;Bob Dylan;Allen Ginsberg;Patti Smith;Martin von Haselberg,8.0
Rogue One,Gareth Edwards;Felicity Jones;Diego Luna;Alan Tudyk;Donnie Yen,7.8
A Rainy Day in New York,Woody Allen;Timothée Chalamet;Elle Fanning;Kelly Rohrbach;Suki Waterhouse,Not Rated
A Star Is Born,Frank Pierson;Barbra Streisand;Kris Kristofferson;Gary Busey;Oliver Clark,6.3
Go! Vive a Tu Manera,Rebecca Davis;Marley Estrada;Jordan Tortorello;Laura Azcurra,7.0
Dodgeball: A True Underdog Story,Rawson Marshall Thurber;Ben Stiller;Christine Taylor;Vince Vaughn;Rip Torn,6.7
Srpski film,Srdjan Spasojevic;Srdjan 'Zika' Todorovic;Sergej Trifunovic;Jelena Gavrilovic;Slobodan Bestic,5.1
The Killing of a Sacred Deer,Yorgos Lanthimos;Barry G. Bernson;Herb Caillouet;Bill Camp;Raffey Cassidy,7.0
Sherlock Holmes: A Game of Shadows,Guy Ritchie;Robert Downey Jr.;Jude Law;Jared Harris;Rachel McAdams,7.5
A Scanner Darkly,Richard Linklater;Keanu Reeves;Winona Ryder;Robert Downey Jr.;Rory Cochrane,7.1
Easy A,Will Gluck;Emma Stone;Amanda Bynes;Penn Badgley;Dan Byrd,7.1
A Beautiful Mind,John Nash;Ron Howard;Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer,8.2
The Perks of Being a Wallflower,Stephen Chbosky;Logan Lerman;Emma Watson;Ezra Miller;Paul Rudd,8.0
A Nightmare on Elm Street,Wes Craven;Heather Langenkamp;Johnny Depp;Robert Englund;John Saxon,7.5
Death at a Funeral,Frank Oz;Matthew Macfadyen;Peter Dinklage;Ewen Bremner;Keeley Hawes,7.4
A Madea Family Funeral,Tyler Perry;Tyler Perry;Cassi Davis;Patrice Lovely;Mike Tyson,4.3
A Million Little Things,David Giuntoli;Romany Malco;Allison Miller;Christina Moses,7.9
Once Upon a Time in the West,Sergio Leone;Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,8.5
About a Boy,Chris Weitz;Paul Weitz;Hugh Grant;Nicholas Hoult;Toni Collette;Sharon Small,7.1
Without a Trace,Anthony LaPaglia;Poppy Montgomery;Enrique Murciano;Eric Close,6.9
A Vigilante,Sarah Daggar-Nickson;Olivia Wilde;Morgan Spector;Kyle Catlett;Estefania Tejeda,5.4
A Touch of Frost,David Jason;Bruce Alexander;John Lyons;Arthur White,7.9
A Star Is Born,George Cukor;Judy Garland;James Mason;Jack Carson;Charles Bickford,7.7
Once Upon a Time ... in Hollywood,Quentin Tarantino;Leonardo DiCaprio;Brad Pitt;Margot Robbie;Sydney Sweeney,9.6
City on a Hill,Kevin Bacon;Aldis Hodge;Jonathan Tucker;Mark O'Brien,7.9
A Star Is Born,Bradley Cooper;Lady Gaga;Bradley Cooper;Sam Elliott;Greg Grunberg,7.7
Two and a Half Men,Jon Cryer;Ashton Kutcher;Angus T. Jones;Conchata Ferrell,7.1
Once Upon a Time,Ginnifer Goodwin;Jennifer Morrison;Lana Parrilla;Robert Carlyle,7.8
A Quiet Place,John Krasinski;Emily Blunt;John Krasinski;Millicent Simmonds;Noah Jupe,7.6
A League of Their Own,Penny Marshall;Tom Hanks;Geena Davis;Lori Petty;Madonna,7.2
Solo: A Star Wars Story,Ron Howard;Alden Ehrenreich;Woody Harrelson;Emilia Clarke;Donald Glover,7.0
M*A*S*H,Alan Alda;Wayne Rogers;Loretta Swit;Jamie Farr,8.4
A Simple Favor,Paul Feig;Anna Kendrick;Blake Lively;Henry Golding;Andrew Rannells,6.9
The VVitch: A New-England Folktale,Robert Eggers;Anya Taylor-Joy;Ralph Ineson;Kate Dickie;Julian Richings,6.8
A Discovery of Witches,Matthew Goode;Teresa Palmer;Valarie Pettiford;Malin Buska,8.2
A Clockwork Orange,Stanley Kubrick;Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke,8.3
Valerian and the City of a Thousand Planets,Luc Besson;Dane DeHaan;Cara Delevingne;Clive Owen;Rihanna,6.5
Requiem for a Dream,Darren Aronofsky;Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans,8.3
One Day at a Time,Justina Machado;Todd Grinnell;Isabella Gomez;Marcel Ruiz,8.3
Star Wars,George Lucas;Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,8.6
Vis a vis,Alba Flores;María Isabel Díaz Lago;Marta Aledo;Najwa Nimri,8.2
A Series of Unfortunate Events,Neil Patrick Harris;Patrick Warburton;Malina Weissman;Louis Hynes,7.8
A Dog's Journey,Gail Mancuso;Josh Gad;Dennis Quaid;Kathryn Prescott;Marg Helgenberger,7.4
A Beautiful Day in the Neighborhood,Marielle Heller;Tom Hanks;Matthew Rhys;Chris Cooper;Enrico Colantoni,Not Rated
2001: A Space Odyssey,Stanley Kubrick;Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,8.3
A Knight's Tale,Brian Helgeland;Heath Ledger;Mark Addy;Rufus Sewell;Shannyn Sossamon,6.9
A Bug's Life,John Lasseter;Andrew Stanton;Kevin Spacey;Dave Foley;Julia Louis-Dreyfus;Hayden Panettiere,7.2
What a Girl Wants,Dennie Gordon;Amanda Bynes;Colin Firth;Kelly Preston;Eileen Atkins,5.9
12 Years a Slave,Solomon Northup;Steve McQueen;Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender;Brad Pitt,8.1
Once Upon a Time in America,Sergio Leone;Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams,8.4
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese;Bob Dylan;Allen Ginsberg;Patti Smith;Martin von Haselberg,8.0
Rogue One,Gareth Edwards;Felicity Jones;Diego Luna;Alan Tudyk;Donnie Yen,7.8
A Rainy Day in New York,Woody Allen;Timothée Chalamet;Elle Fanning;Kelly Rohrbach;Suki Waterhouse,Not Rated
A Star Is Born,Frank Pierson;Barbra Streisand;Kris Kristofferson;Gary Busey;Oliver Clark,6.3
Go! Vive a Tu Manera,Rebecca Davis;Marley Estrada;Jordan Tortorello;Laura Azcurra,7.0
Dodgeball: A True Underdog Story,Rawson Marshall Thurber;Ben Stiller;Christine Taylor;Vince Vaughn;Rip Torn,6.7
Srpski film,Srdjan Spasojevic;Srdjan 'Zika' Todorovic;Sergej Trifunovic;Jelena Gavrilovic;Slobodan Bestic,5.1
The Killing of a Sacred Deer,Yorgos Lanthimos;Barry G. Bernson;Herb Caillouet;Bill Camp;Raffey Cassidy,7.0
Sherlock Holmes: A Game of Shadows,Guy Ritchie;Robert Downey Jr.;Jude Law;Jared Harris;Rachel McAdams,7.5
A Scanner Darkly,Richard Linklater;Keanu Reeves;Winona Ryder;Robert Downey Jr.;Rory Cochrane,7.1
Easy A,Will Gluck;Emma Stone;Amanda Bynes;Penn Badgley;Dan Byrd,7.1
A Beautiful Mind,John Nash;Ron Howard;Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer,8.2
The Perks of Being a Wallflower,Stephen Chbosky;Logan Lerman;Emma Watson;Ezra Miller;Paul Rudd,8.0
A Nightmare on Elm Street,Wes Craven;Heather Langenkamp;Johnny Depp;Robert Englund;John Saxon,7.5
Death at a Funeral,Frank Oz;Matthew Macfadyen;Peter Dinklage;Ewen Bremner;Keeley Hawes,7.4
A Madea Family Funeral,Tyler Perry;Tyler Perry;Cassi Davis;Patrice Lovely;Mike Tyson,4.3
A Million Little Things,David Giuntoli;Romany Malco;Allison Miller;Christina Moses,7.9
Once Upon a Time in the West,Sergio Leone;Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,8.5
About a Boy,Chris Weitz;Paul Weitz;Hugh Grant;Nicholas Hoult;Toni Collette;Sharon Small,7.1
Without a Trace,Anthony LaPaglia;Poppy Montgomery;Enrique Murciano;Eric Close,6.9
A Vigilante,Sarah Daggar-Nickson;Olivia Wilde;Morgan Spector;Kyle Catlett;Estefania Tejeda,5.4
A Touch of Frost,David Jason;Bruce Alexander;John Lyons;Arthur White,7.9
A Star Is Born,George Cukor;Judy Garland;James Mason;Jack Carson;Charles Bickford,7.7
Once Upon a Time ... in Hollywood,Quentin Tarantino;Leonardo DiCaprio;Brad Pitt;Margot Robbie;Sydney Sweeney,9.6
City on a Hill,Kevin Bacon;Aldis Hodge;Jonathan Tucker;Mark O'Brien,7.9
A Star Is Born,Bradley Cooper;Lady Gaga;Bradley Cooper;Sam Elliott;Greg Grunberg,7.7
Two and a Half Men,Jon Cryer;Ashton Kutcher;Angus T. Jones;Conchata Ferrell,7.1
Once Upon a Time,Ginnifer Goodwin;Jennifer Morrison;Lana Parrilla;Robert Carlyle,7.8
A Quiet Place,John Krasinski;Emily Blunt;John Krasinski;Millicent Simmonds;Noah Jupe,7.6
A League of Their Own,Penny Marshall;Tom Hanks;Geena Davis;Lori Petty;Madonna,7.2
Solo: A Star Wars Story,Ron Howard;Alden Ehrenreich;Woody Harrelson;Emilia Clarke;Donald Glover,7.0
M*A*S*H,Alan Alda;Wayne Rogers;Loretta Swit;Jamie Farr,8.4
A Simple Favor,Paul Feig;Anna Kendrick;Blake Lively;Henry Golding;Andrew Rannells,6.9
The VVitch: A New-England Folktale,Robert Eggers;Anya Taylor-Joy;Ralph Ineson;Kate Dickie;Julian Richings,6.8
A Discovery of Witches,Matthew Goode;Teresa Palmer;Valarie Pettiford;Malin Buska,8.2
A Clockwork Orange,Stanley Kubrick;Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke,8.3
Valerian and the City of a Thousand Planets,Luc Besson;Dane DeHaan;Cara Delevingne;Clive Owen;Rihanna,6.5
Requiem for a Dream,Darren Aronofsky;Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans,8.3
One Day at a Time,Justina Machado;Todd Grinnell;Isabella Gomez;Marcel Ruiz,8.3
Star Wars,George Lucas;Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,8.6
Vis a vis,Alba Flores;María Isabel Díaz Lago;Marta Aledo;Najwa Nimri,8.2
A Series of Unfortunate Events,Neil Patrick Harris;Patrick Warburton;Malina Weissman;Louis Hynes,7.8
A Dog's Journey,Gail Mancuso;Josh Gad;Dennis Quaid;Kathryn Prescott;Marg Helgenberger,7.4
A Beautiful Day in the Neighborhood,Marielle Heller;Tom Hanks;Matthew Rhys;Chris Cooper;Enrico Colantoni,Not Rated
2001: A Space Odyssey,Stanley Kubrick;Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,8.3
A Knight's Tale,Brian Helgeland;Heath Ledger;Mark Addy;Rufus Sewell;Shannyn Sossamon,6.9
A Bug's Life,John Lasseter;Andrew Stanton;Kevin Spacey;Dave Foley;Julia Louis-Dreyfus;Hayden Panettiere,7.2
What a Girl Wants,Dennie Gordon;Amanda Bynes;Colin Firth;Kelly Preston;Eileen Atkins,5.9
12 Years a Slave,Solomon Northup;Steve McQueen;Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender;Brad Pitt,8.1
Once Upon a Time in America,Sergio Leone;Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams,8.4
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese;Bob Dylan;Allen Ginsberg;Patti Smith;Martin von Haselberg,8.0
Rogue One,Gareth Edwards;Felicity Jones;Diego Luna;Alan Tudyk;Donnie Yen,7.8
A Rainy Day in New York,Woody Allen;Timothée Chalamet;Elle Fanning;Kelly Rohrbach;Suki Waterhouse,Not Rated
A Star Is Born,Frank Pierson;Barbra Streisand;Kris Kristofferson;Gary Busey;Oliver Clark,6.3
Go! Vive a Tu Manera,Rebecca Davis;Marley Estrada;Jordan Tortorello;Laura Azcurra,7.0
Dodgeball: A True Underdog Story,Rawson Marshall Thurber;Ben Stiller;Christine Taylor;Vince Vaughn;Rip Torn,6.7
Srpski film,Srdjan Spasojevic;Srdjan 'Zika' Todorovic;Sergej Trifunovic;Jelena Gavrilovic;Slobodan Bestic,5.1
The Killing of a Sacred Deer,Yorgos Lanthimos;Barry G. Bernson;Herb Caillouet;Bill Camp;Raffey Cassidy,7.0
Sherlock Holmes: A Game of Shadows,Guy Ritchie;Robert Downey Jr.;Jude Law;Jared Harris;Rachel McAdams,7.5
A Scanner Darkly,Richard Linklater;Keanu Reeves;Winona Ryder;Robert Downey Jr.;Rory Cochrane,7.1
Easy A,Will Gluck;Emma Stone;Amanda Bynes;Penn Badgley;Dan Byrd,7.1
A Beautiful Mind,John Nash;Ron Howard;Russell Crowe;Ed Harris;Jennifer Connelly;Christopher Plummer,8.2
The Perks of Being a Wallflower,Stephen Chbosky;Logan Lerman;Emma Watson;Ezra Miller;Paul Rudd,8.0
A Nightmare on Elm Street,Wes Craven;Heather Langenkamp;Johnny Depp;Robert Englund;John Saxon,7.5
Death at a Funeral,Frank Oz;Matthew Macfadyen;Peter Dinklage;Ewen Bremner;Keeley Hawes,7.4
A Madea Family Funeral,Tyler Perry;Tyler Perry;Cassi Davis;Patrice Lovely;Mike Tyson,4.3
A Million Little Things,David Giuntoli;Romany Malco;Allison Miller;Christina Moses,7.9
Once Upon a Time in the West,Sergio Leone;Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,8.5
About a Boy,Chris Weitz;Paul Weitz;Hugh Grant;Nicholas Hoult;Toni Collette;Sharon Small,7.1
Without a Trace,Anthony LaPaglia;Poppy Montgomery;Enrique Murciano;Eric Close,6.9
A Vigilante,Sarah Daggar-Nickson;Olivia Wilde;Morgan Spector;Kyle Catlett;Estefania Tejeda,5.4
